ID_Code,Country,E_Total,I_Total
1,France,8109803.933,7174425.069
3,Netherlands,6171187.672,4012334.863
4,Germany,17544881.092,19741912.189
5,Italy,10323502.477,10429475.109
6,"United Kingdom",12372140.466,5035830.431
9,Greece,2812276.628,1862688.451
10,Portugal,1354847.372,1027631.368
11,Spain,8786285.481,5699298.158
17,Belgium,4484750.341,5253596.306
30,Sweden,1553154.026,1787055.612
38,Austria,1383670.561,1660120.769
39,Switzerland,1121559.058,2867559.017
60,Poland,4253020.749,3300647.778
61,"Czech Republic",1515721.699,2455273.425
64,Hungary,1302164.527,1465721.914
66,Romania,4690524.713,3061416.055
68,Bulgaria,3568048.119,2341667.457
72,Ukraine,2645854.607,3969753.530
75,Russia,5186535.288,25575826.888
76,Georgia,1526060.678,423546.763
78,Azerbaijan,2120684.391,659913.385
81,Uzbekistan,1693703.465,1645831.918
91,Slovenia,1583708.506,413036.946
98,Serbia,1350901.483,402033.353
204,Morocco,2616397.096,795071.229
208,Algeria,1528412.905,1060135.551
212,Tunisia,1245367.132,249230.575
216,Libya,2508274.025,721190.066
220,Egypt,3908360.977,1970856.375
400,USA,13207644.693,11703746.832
404,Canada,1564094.632,938581.771
508,Brazil,963257.555,3541625.406
604,Lebanon,1477063.877,46824.191
608,Syria,1918856.862,175836.646
612,Iraq,9970224.351,1587719.168
616,Iran,2536746.356,2500961.765
624,Israel,5664540.456,1876129.975
632,"Saudi Arabia",235851.575,3029900.878
647,UAE,4894436.516,2198582.461
664,India,1104155.270,7197060.404
701,Malaysia,399253.447,2717673.339
720,China,3377764.282,29099543.833
728,"South Korea",853146.487,6869902.362
732,Japan,433042.378,3953344.180
999,"Confidential Country",0.000,20391279.129
